vessel,begin_port_id,end_port_id,voyage
1,95,138,1
1,138,95,2
1,95,138,3
10,91,10,1
10,10,87,2
10,87,57,3
100,39,73,1
100,73,11,2
100,11,100,3
101,51,156,1
101,156,14,2
101,14,99,3
102,73,7,1
102,7,73,2
102,73,32,3
103,175,30,1
103,30,73,2
103,73,100,3
104,51,73,1
104,73,22,2
104,22,73,3
105,99,22,1
105,22,32,2
105,32,73,3
106,32,73,1
106,73,32,2
106,32,51,3
107,72,51,1
107,51,73,2
107,73,72,3
108,73,48,1
108,48,73,2
108,73,51,3
109,73,51,1
109,51,73,2
109,73,65,3
11,138,83,1
11,83,138,2
11,138,91,3
110,73,51,1
110,51,156,2
110,156,14,3
111,32,11,1
111,11,32,2
111,32,139,3
112,99,48,1
112,48,99,2
112,99,154,3
113,99,32,1
113,32,99,2
113,99,30,3
114,32,7,1
114,7,99,2
114,99,32,3
116,32,70,1
116,70,32,2
116,32,70,3
117,32,154,1
117,154,32,2
117,32,139,3
118,100,22,1
118,22,100,2
118,100,30,3
119,156,7,1
119,7,156,2
119,156,30,3
12,149,104,1
12,104,65,2
12,65,97,3
120,30,156,1
120,156,14,2
120,14,30,3
121,65,99,1
121,99,65,2
121,65,99,3
122,100,65,1
122,65,100,2
122,100,108,3
123,151,99,1
123,99,151,2
123,151,99,3
124,99,22,1
124,22,99,2
124,99,65,3
125,99,151,1
125,151,99,2
125,99,151,3
126,99,154,1
126,154,99,2
126,99,154,3
127,154,99,1
127,99,154,2
127,154,99,3
128,99,151,1
128,151,99,2
128,99,51,3
129,99,48,1
129,48,99,2
129,99,51,3
13,32,104,1
13,104,13,2
13,13,138,3
130,156,139,1
130,139,156,2
130,156,7,3
131,149,69,1
131,69,34,2
131,34,69,3
132,14,156,1
132,156,14,2
132,14,156,3
135,7,51,1
135,51,100,2
135,100,51,3
136,51,30,1
136,30,65,2
136,65,22,3
137,156,90,1
137,90,30,2
137,30,65,3
138,151,59,1
138,59,151,2
138,151,100,3
139,69,178,1
139,178,69,2
139,69,34,3
14,91,99,1
14,99,30,2
14,30,99,3
140,48,69,1
140,69,34,2
140,34,69,3
141,157,72,1
141,72,157,2
141,157,51,3
142,22,157,1
142,157,7,2
142,7,157,3
143,92,22,1
143,22,92,2
143,92,139,3
145,29,69,1
145,69,29,2
145,29,69,3
146,34,90,1
146,90,65,2
146,65,34,3
147,139,90,1
147,90,72,2
147,72,65,3
148,21,65,1
148,65,21,2
148,21,72,3
149,51,35,1
149,35,51,2
149,51,35,3
15,57,91,1
15,91,126,2
15,126,57,3
150,59,48,1
150,48,59,2
150,59,34,3
151,22,59,1
151,59,65,2
151,65,51,3
152,35,51,1
152,51,35,2
152,35,51,3
153,59,72,1
153,72,59,2
153,59,72,3
154,65,21,1
154,21,65,2
154,65,40,3
155,90,34,1
155,34,90,2
155,90,22,3
156,65,21,1
156,21,65,2
156,65,72,3
157,34,90,1
157,90,7,2
157,7,126,3
158,90,7,1
158,7,90,2
158,90,34,3
159,90,48,1
159,48,90,2
159,90,65,3
16,20,10,1
16,10,20,2
16,20,10,3
161,165,87,1
161,87,165,2
161,165,87,3
162,7,90,1
162,90,7,2
162,7,65,3
163,90,7,1
163,7,90,2
163,90,72,3
164,90,22,1
164,22,90,2
164,90,48,3
165,97,90,1
165,90,97,2
165,97,90,3
166,144,138,1
166,138,120,2
166,120,15,3
167,138,72,1
167,72,138,2
167,138,72,3
168,97,170,1
168,170,97,2
168,97,170,3
17,138,120,1
17,120,175,2
17,175,7,3
170,169,7,1
170,7,169,2
170,169,48,3
171,169,22,1
171,22,169,2
171,169,7,3
172,48,169,1
172,169,51,2
172,51,48,3
175,64,27,1
175,27,64,2
175,64,102,3
176,64,20,1
176,20,64,2
176,64,136,3
18,165,104,1
18,104,13,2
18,13,104,3
19,147,35,1
19,35,147,2
19,147,136,3
2,55,138,1
2,138,10,2
2,10,97,3
20,32,104,1
20,104,32,2
20,32,149,3
21,138,91,1
21,91,138,2
21,138,46,3
22,100,160,1
22,160,72,2
22,72,19,3
23,59,10,1
23,10,59,2
23,59,10,3
24,138,20,1
24,20,138,2
24,138,20,3
25,10,27,1
25,27,10,2
25,10,27,3
26,147,153,1
26,153,147,2
26,147,140,3
27,91,83,1
27,83,138,2
27,138,57,3
28,91,144,1
28,144,91,2
28,91,174,3
29,147,35,1
29,35,147,2
29,147,79,3
3,165,138,1
3,138,83,2
3,83,32,3
30,29,138,1
30,138,136,2
30,136,160,3
31,91,138,1
31,138,11,2
31,11,57,3
32,91,35,1
32,35,91,2
32,91,48,3
33,104,149,1
33,149,32,2
33,32,73,3
34,91,35,1
34,35,10,2
34,10,91,3
35,160,136,1
35,136,160,2
35,160,138,3
36,73,99,1
36,99,59,2
36,59,104,3
37,165,126,1
37,126,160,2
37,160,165,3
38,7,100,1
38,100,22,2
38,22,138,3
39,160,15,1
39,15,91,2
39,91,104,3
4,55,91,1
4,91,55,2
4,55,91,3
40,99,73,1
40,73,99,2
40,99,139,3
41,35,104,1
41,104,32,2
41,32,57,3
42,10,19,1
42,19,10,2
42,10,20,3
43,10,97,1
43,97,10,2
43,10,97,3
44,73,7,1
44,7,104,2
44,104,13,3
45,32,70,1
45,70,138,2
45,138,91,3
46,91,83,1
46,83,165,2
46,165,87,3
47,160,138,1
47,138,136,2
47,136,46,3
48,35,104,1
48,104,13,2
48,13,99,3
49,72,160,1
49,160,144,2
49,144,126,3
5,87,138,1
5,138,10,2
5,10,97,3
50,35,32,1
50,32,104,2
50,104,13,3
51,149,72,1
51,72,57,2
51,57,149,3
52,149,104,1
52,104,13,2
52,13,32,3
53,33,104,1
53,104,13,2
53,13,32,3
54,29,73,1
54,73,22,2
54,22,92,3
55,30,160,1
55,160,120,2
55,120,160,3
56,136,10,1
56,10,20,2
56,20,83,3
57,138,59,1
57,59,138,2
57,138,59,3
58,136,160,1
58,160,136,2
58,136,160,3
59,160,31,1
59,31,160,2
59,160,31,3
6,175,32,1
6,32,73,2
6,73,22,3
60,34,104,1
60,104,65,2
60,65,104,3
61,138,136,1
61,136,138,2
61,138,84,3
62,153,33,1
62,33,153,2
62,153,33,3
63,15,97,1
63,97,16,2
63,16,156,3
64,70,30,1
64,30,70,2
64,70,30,3
65,160,144,1
65,144,95,2
65,95,138,3
66,32,104,1
66,104,65,2
66,65,32,3
67,70,32,1
67,32,104,2
67,104,13,3
68,13,104,1
68,104,90,2
68,90,34,3
69,104,14,1
69,14,104,2
69,104,14,3
7,120,10,1
7,10,95,2
7,95,91,3
70,14,104,1
70,104,14,2
70,14,104,3
71,104,13,1
71,13,32,2
71,32,104,3
72,14,104,1
72,104,14,2
72,14,104,3
73,138,27,1
73,27,138,2
73,138,27,3
74,40,32,1
74,32,104,2
74,104,13,3
75,149,104,1
75,104,149,2
75,149,104,3
76,139,104,1
76,104,73,2
76,73,7,3
77,14,104,1
77,104,14,2
77,14,104,3
78,73,104,1
78,104,32,2
78,32,73,3
79,13,104,1
79,104,13,2
79,13,32,3
8,100,138,1
8,138,32,2
8,32,154,3
81,10,93,1
81,93,138,2
81,138,32,3
82,138,122,1
82,122,138,2
82,138,99,3
83,13,104,1
83,104,13,2
83,13,100,3
84,7,90,1
84,90,7,2
84,7,104,3
85,138,104,1
85,104,13,2
85,13,138,3
86,90,7,1
86,7,104,2
86,104,90,3
87,14,104,1
87,104,14,2
87,14,100,3
88,14,104,1
88,104,14,2
88,14,104,3
89,104,14,1
89,14,104,2
89,104,14,3
9,138,120,1
9,120,10,2
9,10,84,3
90,104,72,1
90,72,104,2
90,104,59,3
91,104,13,1
91,13,104,2
91,104,13,3
92,104,69,1
92,69,34,2
92,34,69,3
93,138,144,1
93,144,153,2
93,153,10,3
94,39,99,1
94,99,73,2
94,73,99,3
95,32,80,1
95,80,32,2
95,32,80,3
96,73,32,1
96,32,73,2
96,73,30,3
97,73,51,1
97,51,73,2
97,73,65,3
98,7,73,1
98,73,99,2
98,99,149,3
99,65,30,1
99,30,73,2
99,73,51,3
